color,lat,long
#110A09,49.280796,-123.117943
#A6CADA,49.279573,-123.138529
#020101,49.292406,-123.134048
#17070E,49.279750,-123.117592
#1F060D,49.275333,-123.099881
#BE6699,49.270460,-123.100585
#18090C,49.284210,-123.140709
#1C0B0C,49.258709,-123.100922
#170B0C,49.274311,-123.123123
#020201,49.275153,-123.110006
#7B8179,49.270941,-123.147862
#010100,49.278774,-123.122895
#010201,49.275579,-123.087401
#030201,49.281411,-123.074650
#A97689,49.284016,-123.114159
#080100,49.283718,-123.121109
#040202,49.250000,-123.100000
#020101,49.272422,-123.155267
#010101,49.242222,-123.115000
#FCFBFB,49.277157,-123.125916
#030200,49.283108,-123.118874
#0C0605,49.283333,-123.119217
#609C89,49.272005,-123.114896
#162721,49.300000,-123.140000
#1A090C,49.250000,-123.100000
#050403,49.250000,-123.100000
#1E060D,49.275333,-123.099881
#070902,49.231654,-123.118212
#170F12,49.262583,-123.112992
#9E7995,49.280414,-123.126281
#AB8D9F,49.273505,-123.120711
#020303,49.265881,-123.138901
#656053,49.218494,-122.971001
#9B838D,49.278191,-123.114655
#0D060E,49.263329,-123.141701
#030101,49.288311,-123.116730
#A36F7B,49.276383,-123.120570
#030102,49.287029,-123.115623
#171517,49.286141,-123.143160
#030201,49.287290,-123.129217
#040202,49.288033,-123.114475
#78A58B,49.280414,-123.126281
#E7E6E9,50.113505,-122.953960
#C0C2BD,49.268799,-123.092918
#020601,49.287029,-123.115623
#09170C,49.288910,-123.131203
#050602,49.300743,-123.130331
#020202,49.278774,-123.122895
#0A0707,49.280010,-123.121262
#F9F9FB,49.266232,-123.105431
#010601,49.287029,-123.115623
#030403,49.300743,-123.130331
